Candidate,State,Party,Party 2,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
"Bush, Jeb",FL,Republican,,33512523.71,34696569.26,35224251.05,35224251.05,35224251.05,35415732.77,35415732.77,35415732.77,35489858.93
"Carson, Benjamin S.",MD,Republican,Democrat,57860504.68,63606615.95,64101879.28,64127476.42,64209525.26,64243961.26,64371642.26,64392838.26,64798636.16
"Christie, Christopher J.",NJ,Republican,,7995895.07,8415486.91,8457440.55,8484709.79,8484709.79,8741585.79,8741585.79,8741585.79,8745586.76
"Cruz, Rafael Edward 'Ted'",TX,Republican,,54661505.54,66547755.62,79060950.56,89959571.91,92634917.94,92624351.05,92858348.19,93318797.86,93469852.86
"Fiorina, Carly",CA,Republican,,11848449.68,12079684.58,12079590.52,12079447.33,12108484.05,12119567.07,12123194.46,12123197.17,12123199.71
"Gilmore, James S IIII",VA,Republican,,0,0,383453.44,383453.44,383453.44,387261.44,387261.44,387261.44,391436.44
"Graham, Lindsey O.",SC,Republican,,5629462.5,5647593.86,5716043.86,5737193.86,5780406.48,5832709.86,5888767.81,6002710.2,6010010.2
"Huckabee, Mike",AR,Republican,,4114116.27,4264646.14,4307029.7,4314708.6,4318803.6,4326803.6,4334803.6,4335903.6,4335903.6
"Jindal, Bobby",LA,Republican,,1442463.52,1442463.52,1442463.52,1442463.52,1442463.52,1442463.52,1442463.52,1442463.52,1442463.52
"Kasich, John R.",OH,Republican,,8648889.74,12066998.52,16556221.26,19083082.03,19386815.4,19446453.72,19446453.72,19446453.72,19605961.02
"Pataki, George E.",NY,Republican,,544182.55,544182.55,539891.55,539891.55,539891.55,547262.55,547262.55,547262.55,547267.55
"Paul, Rand",KY,Republican,,12158051.92,12256204.21,12255894.03,12255963.28,12256175.28,12256255.28,12256265.28,12256275.28,12317124.1
"Perry, James R. (Rick)",TX,Republican,Democrat,1427133.28,1427133.28,1427133.28,1427133.28,1427133.28,1427133.28,1427133.28,1427133.28,1427133.28
"Rubio, Marco",FL,Republican,,33734708.4,43306083.5,45919672.21,45997486.93,46428091.88,46613751.1,46613751.1,46613751.1,47208168.3
"Santorum, Richard J.",PA,Republican,,1388612.36,1408876.65,1417970.27,1417970.27,1417970.27,1446552.56,1446552.56,1446552.56,1820830.47
"Trump, Donald J.",NY,Republican,Democrat,25526319.03,34740677.93,49296493.8,58955593.77,64576403.6,91298110.38,127980237.67,169731955.29,224449710.05
"Walker, Scott",WI,Republican,,8076154.73,8204832.73,8332482.32,8403412.66,8530649.19,8678544.96,8794674.43,8923753.67,9041496.4
"Clinton, Hillary Rodham",NY,Democrat,Republican,130443636.88,159902013.35,186735031.61,211785480.67,238174082.49,274537985.86,326829994.46,386343313.68,460168401.47
"Lessig, Lawrence",MA,Democrat,,1236445.02,1236445.02,1242911.01,1257236.22,1257236.22,1257236.22,1257236.22,1257236.22,1257236.22
"O'Malley, Martin Joseph",MD,Democrat,,6035528.14,6073767.12,6244830.2,6318198.37,6336977.73,6338218.06,6338511.06,6338637.06,6358420.32
"Sanders, Bernard",VT,Democrat,Other,96311423.16,139810207.56,185775339.26,212713846.47,229114470.02,235422542.44,236585703.66,236787145.89,236804226.52
"Webb, James Henry Jr.",VA,Democrat,Republican,764992.3,764992.3,776728.43,776728.43,776728.43,776828.43,776828.43,776828.43,776828.43
"Johnson, Gary",NM,Other,Republican,0,0,278956.89,348670.36,699231.78,1363525.44,2966460.87,7937608.42,10573395.37
"McMullin, Evan",UT,Other,Republican,0,0,0,0,0,0,0,0,501093.5
"Stein, Jill",MA,Other,,300421.14,320674.14,357948.27,485145.51,652138.28,862111.54,1879855.27,2762007.48,3218525.06
